1353716784432.txt,1353716784,SODA,494-2,Desk,0,0,0,Obsolete,Android
1353892728945.txt,1353892728,SODA,465K,Desk,0,0,0,Obsolete,Android
1353892764724.txt,1353892764,SODA,465K,Desk,0,0,0,Obsolete,Android
1353894195221.txt,1353894195,SODA,494-2,Desk,0,0,0,Obsolete,Android
1353894679375.txt,1353894679,SODA,465J,Desk,0,0,0,Obsolete,Android
1353894693402.txt,1353894693,SODA,465J,Desk,0,0,0,Obsolete,Android
1353977617679.txt,1353977617,SODA,494-2,Desk,0,0,0,Obsolete,Android
1353977633554.txt,1353977633,SODA,494-2,Desk,0,0,0,Obsolete,Android
1354051848191.txt,1354051848,SODA,465G,Chair,533,1260,0,Train,Android
1354051875290.txt,1354051875,SODA,465G,Desk,530,1306,0,Train,Android
1354051915499.txt,1354051915,SODA,465G,Desk,478,1305,0,Train,Android
1354051970666.txt,1354051970,SODA,465G,Chair,479,1263,0,Train,Android
1354058482160.txt,1354058482,SODA,465H,Desk,400,1355,0,Train,Android
1354058557430.txt,1354058557,SODA,465H,Desk,370,1352,0,Train,Android
1354058632960.txt,1354058632,SODA,465H,Desk,401,1287,0,Train,Android
1354058705958.txt,1354058705,SODA,465H,Desk,372,1287,0,Train,Android
1354058781645.txt,1354058781,SODA,465H,Desk,402,1213,0,Train,Android
1354058856639.txt,1354058856,SODA,465H,Desk,369,1212,0,Train,Android
1354061976925.txt,1354061976,SODA,465B,Desk,839,1125,0,Train,Android
1354062055191.txt,1354062055,SODA,465B,Sofa,836,1027,0,Train,Android
1354062127733.txt,1354062127,SODA,465B,Chair,764,1023,0,Train,Android
1354062208175.txt,1354062208,SODA,465B,Ground,766,1125,0,Train,Android
1354064858397.txt,1354064858,SODA,465D,Ground,721,1136,0,Train,Android
1354064934745.txt,1354064934,SODA,465D,Ground,669,1127,0,Train,Android
1354065008963.txt,1354065008,SODA,465D,Ground,666,1047,0,Train,Android
1354065081142.txt,1354065081,SODA,465D,Ground,725,1050,0,Train,Android
1354130505429.txt,1354130505,SODA,465F,Chair,629,1136,0,Train,Android
1354130584474.txt,1354130584,SODA,465F,Desk,587,1088,0,Train,Android
